frame,tipo_objeto,confianza,tracking_id,x1,y1,x2,y2,matricula_conf,mx1,my1,mx2,my2,texto_matricula
54,car,0.8739495873451233,1,1183,542,1484,780,0.8309701681137085,1269,639,1358,677,03871 ID
54,person,0.8356708884239197,2,1800,546,1871,732,0.0,0,0,0,0,
54,car,0.8348715305328369,3,1099,588,1204,681,0.0,0,0,0,0,
54,car,0.5976351499557495,7,0,517,242,609,0.0,0,0,0,0,
54,person,0.6421420574188232,13,1886,605,1919,735,0.0,0,0,0,0,
55,car,0.8542609214782715,1,1184,542,1485,779,0.8191956877708435,1271,640,1360,677,3871I
55,person,0.8314037919044495,2,1800,546,1872,732,0.0,0,0,0,0,
55,car,0.8380951881408691,3,1100,589,1204,680,0.0,0,0,0,0,
55,car,0.5817198753356934,7,0,518,244,608,0.0,0,0,0,0,
55,person,0.6562181115150452,13,1885,604,1919,736,0.0,0,0,0,0,
56,car,0.8502267003059387,1,1185,542,1486,780,0.8236872553825378,1271,639,1361,677,03871 IL
56,person,0.8255868554115295,2,1799,543,1872,732,0.0,0,0,0,0,
56,car,0.8356804251670837,3,1101,588,1204,680,0.0,0,0,0,0,
56,car,0.508499264717102,7,0,518,244,606,0.0,0,0,0,0,
56,person,0.6642704606056213,13,1883,604,1919,736,0.0,0,0,0,0,
57,car,0.8481752276420593,1,1185,543,1486,780,0.828864336013794,1272,639,1362,678,43871 LIV
57,person,0.8242506384849548,2,1800,542,1872,732,0.0,0,0,0,0,
57,car,0.8470590710639954,3,1102,588,1204,680,0.0,0,0,0,0,
57,person,0.6519164443016052,13,1879,605,1919,736,0.0,0,0,0,0,
58,car,0.860435426235199,1,1186,543,1486,779,0.8104494214057922,1273,640,1361,677,3871 LI
58,person,0.8400837779045105,2,1801,541,1873,732,0.0,0,0,0,0,
58,car,0.8663391470909119,3,1102,589,1205,680,0.0,0,0,0,0,
58,person,0.6523593068122864,13,1876,606,1919,736,0.0,0,0,0,0,
58,car,0.5321540236473083,7,0,517,236,603,0.0,0,0,0,0,
59,car,0.861195981502533,1,1187,543,1486,779,0.8438151478767395,1274,640,1361,676,387 1 LII
59,person,0.8353577852249146,2,1801,541,1873,732,0.0,0,0,0,0,
59,car,0.8624710440635681,3,1103,590,1204,679,0.0,0,0,0,0,
59,person,0.6392662525177002,13,1875,608,1919,736,0.0,0,0,0,0,
59,car,0.581882119178772,7,0,516,228,606,0.0,0,0,0,0,
60,car,0.8545074462890625,1,1187,544,1486,779,0.8147635459899902,1273,639,1363,677,4387 1 HL
60,person,0.8366326689720154,2,1801,540,1874,732,0.0,0,0,0,0,
60,car,0.8510175943374634,3,1104,590,1205,679,0.0,0,0,0,0,
60,person,0.6232127547264099,13,1875,610,1919,736,0.0,0,0,0,0,
60,car,0.5926783680915833,7,0,517,222,607,0.0,0,0,0,0,
61,car,0.87144535779953,1,1187,545,1485,779,0.7962095737457275,1274,637,1367,679,8387 1 [D
61,person,0.8292067050933838,2,1802,540,1873,733,0.0,0,0,0,0,
61,car,0.8097625374794006,3,1105,589,1206,679,0.0,0,0,0,0,
61,person,0.6382848620414734,13,1879,611,1919,735,0.0,0,0,0,0,
61,car,0.6453611254692078,7,0,516,217,608,0.0,0,0,0,0,
62,car,0.8694635033607483,1,1188,545,1485,779,0.7923729419708252,1275,640,1367,677,43871
